txt_path,author,document_url
results_for_evaluation/057609a1-5593-cf51-2994-4586c346fc02.txt,"Віньковецька громада. Хмельницька область, Хмельницький район",https://rada.info/upload/users_files/04403315/docs/0c788b2d9d2ebf7d7af2c1ece43a6d51.pdf#88d7b0865d9fb5f0dbcfe2891b4ec12f
results_for_evaluation/059835b6-f89c-9cd8-6204-74e968d2f45e.txt,"Ліплявська громада. Черкаська область, Черкаський район",https://rada.info/upload/users_files/35821118/docs/5b1bc92dc1b8e37c0e7105bfb5420689.doc#50d1920d775e0c8d7d06088a05ec3ba0
results_for_evaluation/05df9eb7-cfa3-8dfe-a526-68756db0226e.txt,"Рівнянська громада. Кіровоградська область, Новоукраїнський район",https://rada.info/upload/users_files/04363998/docs/e2f5c4aed5f5db76e433e9c2b1258a93.rar#19 сесія/затвердити Кіровоградобленерго — 6 опора .doc
results_for_evaluation/05eeae35-0bd7-1ae7-a020-68b4432d4637.txt,"Боромлянська громада. Сумська область, Охтирський район",https://rada.info/upload/users_files/04391693/docs/5a503a2e210087ee14c1c320ae18c67d.doc#f9140bf05b0a6cf5a71eb9b072ba187c
results_for_evaluation/05fff514-3efd-ecc4-6316-3315414f41b9.txt,"Колодяжненська громада. Волинська область, Ковельський район",https://rada.info/upload/users_files/04333974/docs/3b000978dffd16e4c874c8525d691052.doc#7e89ea6732e29deec798362cec7652d7
results_for_evaluation/06172016-fa4a-c28c-88a4-97df5ab6ffc0.txt,"Віньковецька громада. Хмельницька область, Хмельницький район",https://rada.info/upload/users_files/04403315/docs/d2ea818d894bbb4f036c4e7d1b98d7b3.pdf#ccd6a572064586fb7451ef7bffe38702
results_for_evaluation/063900c0-7a48-ff52-820c-54b43b504312.txt,"Турківська громада. Львівська область, Самбірський район",https://rada.info/upload/users_files/04056026/docs/5179ff9663e855459cf089b11c900b23.doc#36b44deb1c7e60312ff2260b3023a3ba
results_for_evaluation/06c563d8-6e65-b3d6-f890-07cc4f75391f.txt,"Балаклеївська громада. Черкаська область, Черкаський район",https://rada.info/upload/users_files/26489731/docs/6648d327ad880dba72948cd4d17da825.doc#5871a5e3f179b9fcaf20bbaf45ee2297
results_for_evaluation/06c6be24-b293-385d-543d-8a73e9c089fc.txt,"Гайворонська громада. Кіровоградська область, Голованівський район",https://rada.info/upload/users_files/04055297/docs/08c23a41dadc289e8eab269d0b88e0a9.pdf#7693eb53e7f13e4bab256a8705ffdcbb
results_for_evaluation/06c7c883-cf6f-db2b-fc43-72fd2dfc0720.txt,"Теофіпольська громада. Хмельницька область, Хмельницький район",https://rada.info/upload/users_files/04405774/docs/eba7281ef371d013d52a846a6f34f66d.docx#e628e561abb704e19471b90bf914a208
results_for_evaluation/06e09a2e-ce7b-8cf0-d43f-5aa92fa63e6b.txt,"Віньковецька громада. Хмельницька область, Хмельницький район",https://rada.info/upload/users_files/04403315/docs/3a56287cc0b53ad92d6f8b7f71b63ce6.pdf#676a22a2fea89947372fc960d92ba585
results_for_evaluation/06ea48c3-757e-c7dc-fc4e-eacccf5b878e.txt,"Гайворонська громада. Кіровоградська область, Голованівський район",https://rada.info/upload/users_files/04055297/docs/46bd00715ee12996a187649a7d9824d5.pdf#19b912e83f5d5b947b04a8f5b8d2a1e1
results_for_evaluation/06f36759-d8b9-1f62-1b78-b4376895cac9.txt,"Агрономічна громада. Вінницька область, Вінницький район",https://rada.info/upload/users_files/04525998/docs/5a52f1f269bf21576feee8cae64ae174.docx#0b57dbfd299714abf48b710e1d55a39f
results_for_evaluation/06fa8fc6-acf1-1fa2-1c20-781dde5f268f.txt,"Озернянська громада. Тернопільська область, Тернопільський район",https://rada.info/upload/users_files/04392310/docs/01b34ff7cf501c5a145186c42c894533.doc#ef5ac4bab69f5f14f5cb5adf92d02d80
results_for_evaluation/071e6318-889d-fdcf-b349-80021928afa6.txt,"Білокриницька громада. Рівненська область, Рівненський район",https://rada.info/upload/users_files/04387125/docs/9803a28bf62ba6ea3f70fa236d9a614f.doc#ff2db45c696926eab4acadcc17093d95
results_for_evaluation/074473f6-69a1-a9ce-1c79-2ac4bb473a53.txt,"Тиврівська громада. Вінницька область, Вінницький район",https://rada.info/upload/users_files/04326201/2b7461a421a5e242ea343a008048302a.doc#c85787d01a52a0f3b937fc0eaad6f0c1
results_for_evaluation/078991a8-ba2d-9a9d-92a4-b8b661325faa.txt,"Агрономічна громада. Вінницька область, Вінницький район",https://rada.info/upload/users_files/04525998/docs/fa3e6ac37345a95291a032feedd8b979.docx#bc645e6f8cc48eb8e44429e75d1d5432
results_for_evaluation/078ae2fe-4054-59f3-0659-c1069d0cf42d.txt,"Пришибська громада. Полтавська область, Кременчуцький район",https://rada.info/upload/users_files/21062749/docs/8ab27ee09c14cc93b62d754c6760bb75.docx#489105dd3eef6c5c8887e39c8f55f260
results_for_evaluation/07bfabd0-0456-c430-631d-d2b51a307422.txt,"Шпиківська громада. Вінницька область, Тульчинський район",https://rada.info/upload/users_files/04326261/docs/852a982803005756eeddc6126c7ea927.pdf#e6361b177fc04c085a057e59ce80d783
results_for_evaluation/07c817d4-3853-8491-df94-27840ab0f825.txt,"Агрономічна громада. Вінницька область, Вінницький район",https://rada.info/upload/users_files/04525998/docs/6d302b012663d43c728ecfa6b8918174.docx#2007d8a7adde973b9409f421fa31ca72
results_for_evaluation/086ddc3c-6c51-1991-d073-5bceb0979a13.txt,"Колодяжненська громада. Волинська область, Ковельський район",https://rada.info/upload/users_files/04333974/docs/6687f1d40f0576ceefa154f2aa6843ad.doc#44f7541ea3705f0f303b44f499669e60
results_for_evaluation/0885ab9b-c7c5-04c4-8e25-3af3e3d3e81f.txt,"Крупецька громада. Рівненська область, Дубенський район",https://rada.info/upload/users_files/04387496/docs/27b47cad7a112538b5507b3b6489040c.docx#1bbcf041f0a4cb718e861eb4da6a8cf0
results_for_evaluation/089cb88e-e914-acbd-6fff-8d38b618c313.txt,"Чемеровецька громада. Хмельницька область, Кам’янець-Подільський район",https://rada.info/upload/users_files/04403930/docs/d56aad688d701cc91b381600b1bb02f9.doc#67125c628a0d35f273f8fb40fc4a3161
results_for_evaluation/08a0b5bf-158d-4251-1b90-b62bd2aed923.txt,"Набутівська громада. Черкаська область, Черкаський район",https://rada.info/upload/users_files/41063219/docs/0ddb426026b17b98647f0243e77c7d25.docx#190c694e70e177af72013ac09ecacc7e
results_for_evaluation/08b95e84-c8cc-0593-880b-aa0ae495beba.txt,"Віньковецька громада. Хмельницька область, Хмельницький район",https://rada.info/upload/users_files/04403315/docs/d36a771b2fd111163eac6181555ffc1e.pdf#50324caf09a3acb62c4b93a343a3faac
results_for_evaluation/08bd73fa-5739-1d34-bc75-142adaa418d9.txt,"Білокуракинська громада. Луганська область, Сватівський район",https://rada.info/upload/users_files/04335447/docs/f7e9d9f452e098f8eb2fc132d2188da7.doc#f02a890801525f8863f903db46ee8a8e
results_for_evaluation/08bf9ba8-52a0-b7d7-0f3b-acec76a45914.txt,"Чемеровецька громада. Хмельницька область, Кам’янець-Подільський район",https://rada.info/upload/users_files/04403930/docs/edb7f1200c4045206f38f29fdda4e5d9.doc#2a2713b09b4663fe9b53aa45c8a0f375
results_for_evaluation/08c2002e-eb61-51af-d2a5-63a952b97b0b.txt,"Вапнярська громада. Вінницька область, Тульчинський район",https://rada.info/upload/users_files/04325911/docs/0e28dc5b828fd335184964485f8f0162.docx#5040bb34f3ecf03473b29e8f388ee073
results_for_evaluation/08ca48fc-075c-cef4-71c5-a49f851d2752.txt,"Слобідсько-Кульчієвецька громада. Хмельницька область, Кам’янець-Подільський район",https://rada.info/upload/users_files/04407276/docs/954a2224877a00b55203334d687069c4.jpg#9f5cc51ebd7854154b9c9be7399de503
results_for_evaluation/08e3367d-e9d2-bf0d-1f1f-71f7f44d79ee.txt,"Новоселівська громада. Полтавська область, Полтавський район",https://rada.info/upload/users_files/21046791/docs/5acbae3edac5d5f6f6137b0e0c7b8b2e.jpg#26dfa92cfc79049904c72dee067a825b
results_for_evaluation/08eaa428-f19b-34df-9368-48105505b506.txt,"Благовіщенська громада. Кіровоградська область, Голованівський район",https://rada.info/upload/users_files/05402697/docs/0cf15a9f21c8a97f1e97333c840ad641.doc#9eba17ca47e48b87461751db3447e4e3
results_for_evaluation/08eb0bec-0038-762f-5ac0-3ce4959a5b20.txt,"Полянська громада. Закарпатська область, Мукачівський район",https://rada.info/upload/users_files/04351587/docs/703b0a2ed6fe23fb952041c61edb4eaa.docx#fe32ffee259af1abd491617bc7e1faeb
results_for_evaluation/091d1c02-eb4f-5f67-9ea9-13eb29094c55.txt,"Горохівська громада. Волинська область, Луцький район",https://rada.info/upload/users_files/04051276/docs/9d1601a08bfb0219bc970de201ad4b38.doc#77c3c01451cd47b7e57973db3855462e
results_for_evaluation/0931e798-9495-a2df-077b-c1588fcf31f1.txt,"Крупецька громада. Хмельницька область, Шепетівський район",https://rada.info/upload/users_files/04405030/docs/b858b99a11d107325e869637ba2dcc0d.docx#1b7f8b3adb07824109fbabdba4745565
results_for_evaluation/09b07710-7d5b-b43d-25b8-ccf014289997.txt,"Підгаєцька громада. Тернопільська область, Тернопільський район",https://rada.info/upload/users_files/04058462/docs/4ffe84304a9348aecf2900871ac0b6fb.doc#0a0bfe5d6ab6e991448a5d6fc44ea519
results_for_evaluation/09c8c575-c260-6c00-38b1-69596e508077.txt,"Локачинська громада. Волинська область, Володимир-Волинський район",https://rada.info/upload/users_files/04332182/docs/3aa5fa62210d24248ace2f49152eaa76.docx#63126f13315b2ff40214aee55c917204
results_for_evaluation/09de6fc7-792a-75a3-64b9-3a6618f52642.txt,"Озернянська громада. Тернопільська область, Тернопільський район",https://rada.info/upload/users_files/04392310/docs/647c71433dbe19fbbda1d28471827224.doc#bfb56367e5aa1881494197cd1bbff8fc
results_for_evaluation/09e33927-881f-13d7-aab5-260252907299.txt,"Вільшанська громада. Сумська область, Роменський район",https://rada.info/upload/users_files/04388478/docs/307b4a15f7f5365b5698b743b4b321d0.rar#Рішення 18 сесії/23.Затвердження проекту землеустрою щодо відведення земельної ділянки 844 02 001 0132.docx
results_for_evaluation/0a02c5d8-4823-0951-d272-d4491eff1017.txt,"Устинівська громада. Кіровоградська область, Кропивницький район",https://rada.info/upload/users_files/04364549/docs/28a8c1d4e6c3fcc7c17fa5faf52be8bf.doc#598f45d71e1e47ba5ba3deb6dfbf9ec9
results_for_evaluation/0a1b02d2-cd68-4275-384b-dcda7e2fbbc7.txt,"Озернянська громада. Тернопільська область, Тернопільський район",https://rada.info/upload/users_files/04392310/docs/616e34c7e40094c84f2fc8df245b8bae.doc#4bc05cf24b860ff5c69364f99b9c2e9e
results_for_evaluation/0a9b3ce5-3eb9-ba73-86db-5f36e54237b2.txt,"Веснянська громада. Миколаївська область, Миколаївський район",https://rada.info/upload/users_files/20883438/docs/9deb348f5874b26885f5d6eb45708734.doc#2be64e78dd3ba056e0139af8254a31e1
results_for_evaluation/0abd3af6-caf1-3ad9-e797-c1479bef8baf.txt,"Дашівська громада. Вінницька область, Гайсинський район",https://rada.info/upload/users_files/04326081/docs/d1c27d21e292788d803928181b7e0719.jpg#99a61a9e1b6a495aed553cade7a7400a
results_for_evaluation/0ac26592-d9cc-07c8-5156-b9226aa276f1.txt,"Томашпільська громада. Вінницька область, Тульчинський район",https://rada.info/upload/users_files/04326218/docs/d394bc57d090621b5bf7b8ff1b8227bd.docx#e4050793bc0ce4f26a4c971c7925274c
results_for_evaluation/0ac6ca04-c92a-7764-ea60-c13c44f16b4e.txt,"Жашківська громада. Черкаська область, Уманський район",https://rada.info/upload/users_files/36000377/docs/5ff75f3f06d5d6a957fc4ae7697e4dda.doc#dc81a84b39c58fce7cdd4376769148b3
results_for_evaluation/0ac99803-4b78-2606-314d-a8b072ca8ca2.txt,"Підгаєцька громада. Тернопільська область, Тернопільський район",https://rada.info/upload/users_files/04058462/docs/f8244b4c9e48af687d619df8920c9eb4.doc#6284482ea68614420999b6bb291d4f4c
results_for_evaluation/0ad176cc-622a-e052-d681-f8eafc4aa084.txt,"Віньковецька громада. Хмельницька область, Хмельницький район",https://rada.info/upload/users_files/04403315/docs/c5eda1e9a6010f01d79c8bc16547f498.pdf#a1244ccfcd9c921167ee6ace9804b41c
results_for_evaluation/0b070c8b-b691-bca4-eeb3-775095cc5c1a.txt,"Пришибська громада. Полтавська область, Кременчуцький район",https://rada.info/upload/users_files/21062749/docs/439e1d91a75081208eae724bb2992983.docx#9a05bc194023c8bca2de12f0ee279575
results_for_evaluation/0b22606e-4649-6ae1-1bdc-4591d2c14a3e.txt,"Пришибська громада. Полтавська область, Кременчуцький район",https://rada.info/upload/users_files/21062749/docs/b6f89fff421be907da2f5dfeecaec1f3.docx#f2701b9a3004f62b0937fe0ae2053167
results_for_evaluation/0b780210-9a9d-c018-bd7d-1390922b33a8.txt,"Гайворонська громада. Кіровоградська область, Голованівський район",https://rada.info/upload/users_files/04055297/docs/3b5272ac842cd3c5e07196649afa8507.pdf#079c37fa6402ef91fd24cf9a40b60166
results_for_evaluation/0b89d282-04f6-5773-c987-0dde363e6740.txt,"Згурівська громада. Київська область, Броварський район",https://rada.info/upload/users_files/04360296/docs/196f9cf7e3803e3bb90f3a066eebba54.doc#2c50685f961d37ea8e9468116578edd7
results_for_evaluation/0ba42f10-f200-f8f3-67bb-87a07bffd958.txt,"Боромлянська громада. Сумська область, Охтирський район",https://rada.info/upload/users_files/04391693/docs/19ba31c7b6bf2ddc4d35522b10af12fd.doc#a023e8d518efdee5bc7f356c6d582bd8
results_for_evaluation/0be040a8-68d6-6c9a-9188-43835fd45bbf.txt,"Рокитнянська громада. Київська область, Білоцерківський район",https://rada.info/upload/users_files/04358997/docs/782860250108103eda1bc990b84fdf7b.pdf#1f5b498d4ec22f9dd9f73b9accc7cfe2
results_for_evaluation/0be44bb8-7668-d0af-d3a1-a94043a12cb2.txt,"Підгаєцька громада. Тернопільська область, Тернопільський район",https://rada.info/upload/users_files/04058462/docs/9965063a70faa862e3e586fdbbf0fa17.doc#742f6b603c39f41abc14e6f9a8c47e3a
results_for_evaluation/0c06b4a9-5780-61f0-5428-d08b091dd30b.txt,"Миронівська громада. Київська область, Обухівський район",https://rada.info/upload/users_files/04054984/docs/62001e1c56c8fa3cc988116f2aec6c4c.doc#fc3ba7701217550d91b787d797f44698
results_for_evaluation/0c0b6146-549d-c911-7326-ec5cbc344243.txt,"Ліплявська громада. Черкаська область, Черкаський район",https://rada.info/upload/users_files/35821118/docs/a1e05c4d5da09bb0589e6fcfcfdbe2eb.doc#4fc8aae96c161da33da58e1a963d4ebc
results_for_evaluation/0c0fec03-63ab-279e-537a-e7e9c4ddf999.txt,"Усть-Чорнянська громада. Закарпатська область, Тячівський район",https://rada.info/upload/users_files/04349805/docs/5a94083692ab416bba4f1b76f50522a0.jpg#1bf203aa087324a217cd32d4f76dbba9
